Item SKU,Store,Supplier,Cost per Unit ($),On Hand,Annual Demand
1172,003480,A,0.31,81,792
1172,003480,C,10.80,96,904
1172,01611,A,217.66,27,257
1172,01611,B,296.09,150,1398
1172,01611,C,41.16,141,1319
1172,020109,A,274.62,194,1741
1172,020109,D,237.79,155,1633
1193,003480,B,143.63,40,431
1193,003480,C,256.19,96,947
1193,01611,B,33.33,153,1549
1193,020109,A,161.22,58,562
1193,020109,C,39.72,138,1204
1193,020109,D,310.43,91,816
1193,080212,B,108.32,136,1384
1198,01611,B,158.93,138,1409
1198,01611,D,281.34,151,1595
1198,020109,B,278.26,134,1209
1198,020109,C,51.96,19,171
1198,031779,A,48.72,26,278
1198,080212,C,273.23,16,136
1198,080212,D,192.07,67,626
1203,003480,A,231.24,48,499
1203,003480,B,85.55,23,219
1203,003480,C,280.46,107,1001
1203,01611,C,380.56,123,1299
1203,020109,A,201.00,123,1073
1203,020109,B,171.95,64,618
1203,020109,D,264.77,101,920
1205,003480,A,374.47,109,1089
1205,003480,B,60.05,13,125
1205,020109,A,238.30,125,1143
1205,020109,C,353.40,162,1646
1205,031779,A,110.59,130,1099
1205,080212,A,62.93,86,855
1205,080212,B,332.21,24,207
1207,003480,B,121.08,101,1022
1207,01611,B,219.15,148,1266
1207,01611,C,170.17,0,0
1207,020109,C,77.37,167,1542
1207,031779,B,219.94,47,403
1207,031779,D,233.29,122,1095
1207,080212,B,57.24,88,740
1210,01611,A,72.24,142,1397
1210,01611,B,25.31,152,1591
1210,01611,C,314.42,127,1130
1210,020109,B,22.47,35,360
1210,031779,A,103.27,65,553
1210,031779,B,124.63,141,1190
1210,080212,A,380.90,180,1941
1210,080212,C,305.69,164,1686
1214,003480,A,5.99,182,1835
1214,01611,A,413.89,187,2008
1214,01611,B,215.15,145,1473
1214,01611,D,127.47,34,342
1214,020109,C,240.30,10,108
1214,031779,A,359.44,148,1261
1214,031779,C,351.77,144,1238
1245,003480,A,304.00,72,695
1245,003480,C,106.60,19,189
1245,01611,C,468.42,159,1518
1245,01611,D,194.73,169,1767
1245,020109,A,189.66,5,52
1245,020109,C,234.32,136,1323
1245,080212,A,409.10,193,1905
1245,080212,C,295.02,139,1355
1246,003480,C,319.66,146,1555
1246,003480,D,398.09,126,1188
1246,01611,B,108.08,121,1225
1246,020109,A,362.02,94,977
1246,020109,C,375.86,115,1144
1246,031779,C,3.71,27,230
1246,080212,A,388.11,84,824
1246,080212,B,187.45,117,1093
1246,080212,C,20.84,119,1109
1247,003480,C,488.02,151,1517
1247,01611,A,175.04,42,386
1247,01611,D,428.24,0,0
1247,020109,A,392.15,75,718
1247,020109,C,181.60,61,645
1247,031779,B,162.07,79,834
1247,031779,D,183.90,184,1842
1249,003480,B,427.48,194,1708
1249,01611,A,8.15,173,1635
1249,01611,D,161.91,11,94
1249,020109,B,37.58,196,1873
1249,031779,A,179.53,12,104
1249,031779,C,53.13,185,1902
1249,080212,C,264.09,59,497
1251,003480,B,396.32,157,1527
1251,003480,C,499.25,136,1185
1251,003480,D,314.41,91,920
1251,020109,B,104.59,152,1401
1251,031779,A,363.35,102,1077
1251,031779,C,389.34,102,942
1251,080212,A,200.51,186,1708
1251,080212,C,322.03,169,1734
1274,003480,A,234.90,22,237
1274,003480,B,75.73,107,978
1274,020109,B,312.12,39,353
1274,080212,B,393.47,186,1685
1284,01611,A,474.57,106,984
1284,01611,C,87.70,168,1799
1284,020109,A,454.45,78,684
1284,020109,B,224.29,25,230
1285,020109,A,511.09,82,721
1285,020109,B,260.70,79,761
1285,020109,C,390.80,129,1288
1285,031779,C,52.75,116,987
1285,031779,D,504.97,33,331
1290,003480,C,268.10,53,529
1290,003480,D,119.03,111,959
1290,01611,A,23.60,70,643
1290,020109,C,271.68,78,798
1290,031779,A,198.06,141,1483
1290,031779,D,32.05,36,384
1290,080212,C,413.11,86,809
1294,003480,C,327.35,178,1606
1294,003480,D,99.54,42,431
1294,01611,A,277.12,153,1541
1294,031779,A,431.58,114,1113
1294,031779,B,193.66,133,1324
1294,031779,C,178.65,110,1119
1294,031779,D,8.41,60,524
1294,080212,A,145.54,166,1537
1294,080212,C,169.99,117,1219
1302,003480,D,340.34,117,1078
1302,020109,B,267.87,21,223
1302,020109,C,519.04,190,1827
1302,031779,B,65.24,164,1494
1302,031779,C,224.98,16,157
1305,003480,A,86.65,58,511
1305,01611,A,263.12,168,1804
1305,01611,B,524.25,190,2017
1305,01611,D,9.46,96,858
1305,020109,A,451.15,175,1660
1305,020109,D,47.80,19,181
1305,080212,C,139.39,131,1133
1306,003480,C,83.53,143,1333
1306,003480,D,178.72,168,1656
1306,01611,A,79.83,175,1880
1306,01611,D,263.77,162,1381
1306,020109,B,110.20,196,1654
1306,020109,C,367.35,75,757
1306,031779,B,409.83,177,1744
1306,080212,C,116.40,24,224
1307,003480,B,437.84,41,423
1307,003480,C,120.70,162,1697
1307,003480,D,452.95,36,307
1307,01611,A,272.24,135,1176
1307,031779,A,59.01,50,436
1307,031779,C,477.03,124,1264
1307,080212,A,437.66,70,628
1308,01611,B,425.74,189,1634
1308,01611,C,112.87,120,1255
1308,01611,D,185.61,76,798
1308,020109,A,118.26,87,756
1308,020109,D,537.49,94,871
1308,031779,C,494.51,200,1704
1308,031779,D,107.52,181,1648
1310,003480,B,293.77,40,404
1310,003480,C,408.39,15,136
1310,003480,D,275.03,174,1538
1310,01611,B,492.08,167,1453
1310,020109,B,17.19,111,1186
1310,020109,C,123.43,100,881
1328,003480,A,392.78,131,1135
1328,003480,B,498.16,123,1177
1328,01611,A,531.13,186,1840
1328,01611,B,358.97,161,1705
1328,01611,D,220.80,114,1197
1328,020109,A,253.17,54,485
1328,031779,A,20.82,10,103
1328,080212,C,548.82,46,484
1331,003480,A,606.76,142,1432
1331,003480,D,237.68,18,181
1331,01611,A,536.29,178,1676
1331,01611,B,58.45,143,1210
1331,020109,A,571.83,4,40
1331,020109,D,76.83,2,19
1331,031779,A,284.05,91,863
1331,031779,B,294.38,44,377
1331,031779,C,464.03,58,620
1331,031779,D,416.40,34,362
1331,080212,C,294.51,101,887
1359,003480,A,429.80,14,119
1359,003480,D,355.91,145,1363
1359,01611,A,176.52,84,907
1359,01611,B,233.84,89,926
1359,01611,C,505.91,106,1107
1359,01611,D,477.41,82,722
1359,020109,A,511.37,116,1075
1359,020109,B,245.75,51,453
1359,020109,D,231.35,56,490
1359,031779,A,267.38,18,179
1359,031779,C,410.08,131,1115
1359,031779,D,398.24,35,362
1359,080212,A,386.90,86,730
1359,080212,D,143.94,141,1274
1361,003480,A,48.34,96,887
1361,003480,B,587.24,116,1152
1361,003480,C,297.18,140,1185
1361,003480,D,137.45,177,1853
1361,01611,A,44.83,11,111
1361,01611,B,141.45,5,52
1361,01611,C,80.15,148,1521
1361,01611,D,298.75,52,538
1361,080212,A,520.17,165,1728
1361,080212,B,219.64,23,219
1361,080212,C,343.37,6,61
1363,003480,B,315.20,178,1743
1363,003480,D,558.74,94,898
1363,01611,B,51.39,113,1151
1363,01611,C,140.39,111,1122
1363,01611,D,404.87,113,1217
1363,020109,A,318.06,168,1596
1363,020109,B,435.03,118,1167
1363,020109,C,336.37,192,1761
1363,031779,A,461.75,122,1191
1363,031779,C,532.63,87,937
1363,080212,A,432.54,107,1086
1363,080212,B,98.64,188,1800
1378,01611,C,487.02,43,416
1378,020109,A,633.01,60,573
1378,020109,B,186.83,95,874
1378,020109,C,499.00,71,622
1378,031779,A,76.02,81,750
1378,031779,B,685.47,13,140
1378,031779,D,374.62,55,594
1395,003480,A,329.41,27,260
1395,01611,D,83.61,98,938
1395,020109,B,266.62,25,233
1395,080212,B,648.92,38,388
1395,080212,C,19.21,31,315
1397,003480,C,264.07,78,745
1397,003480,D,529.74,107,1106
1397,01611,A,391.46,77,648
1397,01611,C,677.96,63,592
1397,020109,C,776.78,127,1320
1397,031779,B,290.54,153,1515
1397,080212,A,242.62,105,1108
1410,003480,C,733.41,34,295
1410,01611,D,66.76,74,713
1410,020109,B,264.17,0,0
1410,020109,C,210.53,76,657
1410,031779,A,319.23,147,1264
1410,031779,B,429.81,81,685
1412,003480,A,145.82,3,32
1412,003480,C,99.07,64,666
1412,01611,A,614.22,75,713
1412,020109,A,622.19,146,1407
1412,020109,B,102.04,16,135
1412,031779,C,70.72,179,1746
1412,080212,B,669.62,200,2034
1412,080212,D,35.67,12,101
1414,003480,A,626.68,58,532
1414,003480,C,648.30,90,869
1414,003480,D,688.50,20,196
1414,01611,A,628.61,15,159
1414,01611,C,345.41,153,1330
1414,020109,B,298.13,107,1139
1414,080212,A,635.50,79,826
1416,003480,D,98.40,126,1319
1416,01611,A,340.54,60,523
1416,020109,B,709.03,3,30
1416,020109,C,131.93,97,1043
1416,031779,B,34.57,6,62
1416,031779,C,650.21,172,1703
1419,01611,D,183.50,194,2054
1419,031779,A,268.31,25,256
1419,031779,B,446.60,106,1051
1419,080212,A,29.79,156,1331
1419,080212,B,148.12,162,1663
1424,003480,B,800.56,140,1270
1424,003480,C,438.49,121,1182
1424,01611,B,438.38,157,1454
1424,020109,C,188.99,121,1087
1424,031779,A,346.83,36,329
1424,031779,B,629.52,38,375
1424,031779,D,277.88,165,1584
1426,01611,C,660.58,129,1352
1426,020109,A,138.78,90,847
1426,020109,B,13.46,50,440
1426,031779,A,101.01,28,251
1426,031779,C,688.21,102,910
1426,031779,D,617.90,174,1541
1426,080212,B,619.05,112,1026
1426,080212,C,7.64,117,1000
1427,003480,A,177.67,62,659
1427,01611,A,444.76,151,1567
1427,01611,B,714.87,103,1018
1427,01611,C,460.14,107,929
1427,020109,A,810.80,21,216
1427,020109,C,28.00,189,1588
1427,031779,A,600.85,41,406
1459,003480,A,192.64,65,585
1459,031779,A,231.13,156,1678
1459,031779,B,553.68,102,928
1459,031779,D,734.43,197,1843
1459,080212,A,510.30,188,1766
1459,080212,C,783.24,91,889
1459,080212,D,409.94,165,1741
1463,003480,A,626.34,35,313
1463,003480,C,608.78,129,1117
1463,003480,D,473.98,121,1232
1463,01611,C,419.06,140,1277
1463,01611,D,578.28,53,450
1463,020109,A,742.34,155,1512
1463,020109,B,176.31,119,1115
1463,031779,A,537.10,70,741
1463,031779,B,911.85,0,0
1463,031779,C,51.83,12,108
1463,031779,D,138.02,20,192
1463,080212,A,723.16,194,2008
1463,080212,B,523.89,200,1965
1463,080212,C,226.18,97,938
1463,080212,D,656.04,40,366
1469,003480,A,181.22,159,1451
1469,01611,A,890.52,8,70
1469,01611,C,773.56,168,1760
1469,020109,B,92.72,98,931
1469,020109,D,772.47,139,1245
1469,031779,A,129.67,142,1307
1469,031779,B,159.83,49,442
1475,01611,C,325.23,173,1736
1475,020109,A,168.65,144,1533
1475,020109,D,534.20,53,495
1475,031779,B,709.09,63,647
1475,031779,C,851.35,199,1672
1475,080212,A,408.70,110,1015
1475,080212,B,202.96,166,1543
1478,003480,C,900.85,77,682
1478,01611,B,508.59,140,1236
1478,01611,C,110.04,98,947
1478,020109,B,883.76,19,180
1478,020109,C,53.55,14,136
1478,031779,B,314.76,143,1359
1478,031779,D,916.77,113,972
1488,01611,B,910.58,15,158
1488,01611,C,882.56,186,1680
1488,020109,B,420.81,137,1352
1488,031779,B,734.43,148,1559
1488,031779,D,720.76,7,66
1488,080212,A,319.75,189,1640
1488,080212,C,470.58,3,26
1490,003480,A,22.10,141,1258
1490,003480,B,688.18,16,157
1490,003480,D,792.69,110,990
1490,01611,C,33.46,75,734
1490,031779,B,620.98,53,558
1490,080212,B,583.75,179,1799
1490,080212,D,805.69,4,43
1504,003480,B,759.56,3,29
1504,020109,C,742.24,180,1874
1504,020109,D,507.96,29,297
1504,031779,B,885.87,40,360
1504,080212,C,631.10,8,80
1507,003480,B,20.13,153,1403
1507,003480,D,227.20,40,392
1507,020109,B,426.98,175,1794
1507,020109,C,116.76,117,1136
1507,031779,A,907.38,19,205
1507,031779,D,78.05,112,1090
1507,080212,A,658.66,75,698
1516,003480,A,802.86,26,227
1516,003480,C,9.10,194,1638
1516,003480,D,183.87,135,1148
1516,01611,B,556.41,184,1562
1516,01611,C,687.37,24,231
1516,01611,D,149.51,119,1233
1516,020109,B,1002.04,167,1594
1516,020109,C,870.46,137,1192
1516,031779,B,642.51,18,161
1516,031779,C,892.54,62,533
1516,080212,B,957.49,184,1668
1516,080212,C,742.20,146,1278
1518,020109,A,662.25,154,1356
1518,020109,B,325.28,89,812
1518,020109,D,876.92,80,833
1518,031779,A,392.51,54,478
1518,080212,A,704.56,169,1452
1518,080212,B,709.81,98,884
1518,080212,C,317.33,11,114
1528,003480,C,123.41,79,705
1528,01611,C,484.80,145,1515
1528,020109,A,506.11,133,1336
1528,020109,B,95.33,103,1034
1528,031779,B,334.05,114,978
1528,031779,C,649.44,66,612
1528,080212,B,816.17,170,1815
1533,01611,A,327.32,182,1583
1533,020109,B,475.22,74,778
1533,020109,D,142.45,9,93
1533,031779,D,470.26,28,257
1533,080212,A,691.48,135,1246
1536,003480,A,222.52,113,1049
1536,003480,C,851.91,83,771
1536,003480,D,918.33,119,1149
1536,01611,C,254.81,192,1999
1536,031779,A,172.50,124,1288
1536,031779,B,270.81,60,511
1541,003480,B,930.20,39,417
1541,003480,C,891.05,62,608
1541,01611,A,972.10,112,1008
1541,020109,C,956.33,106,1011
1541,031779,A,606.72,87,747
1541,031779,C,569.10,86,892
1541,080212,B,1010.78,13,137
1543,01611,B,382.41,27,231
1543,01611,C,635.76,143,1487
1543,01611,D,1033.40,20,213
1543,020109,B,929.25,172,1556
1543,020109,D,433.49,49,450
1543,031779,A,845.68,116,1195
1543,080212,A,1052.60,150,1310
1543,080212,B,868.45,29,299
1543,080212,C,190.31,84,904
1547,003480,B,1007.68,68,619
1547,003480,D,13.49,149,1460
1547,01611,B,110.38,190,1766
1547,031779,C,668.90,101,1039
1547,080212,B,808.24,114,1214
1547,080212,C,222.93,48,434
1550,01611,A,23.70,43,436
1550,01611,C,998.35,173,1662
1550,01611,D,134.40,200,1861
1550,020109,A,107.55,125,1228
1550,031779,A,171.13,56,530
1550,031779,C,1066.36,200,1692
1550,031779,D,576.19,169,1745
1550,080212,A,941.88,127,1292
1555,003480,A,707.61,22,197
1555,003480,C,807.69,195,2047
1555,020109,A,361.38,185,1874
1555,031779,A,590.15,193,1855
1555,031779,B,175.53,101,938
1555,080212,A,429.93,92,836
1555,080212,D,926.06,125,1222
1564,003480,A,234.47,120,1083
1564,003480,B,116.81,31,334
1564,01611,B,3.47,194,2076
1564,01611,D,709.85,19,196
1564,020109,B,87.03,86,823
1564,080212,A,910.06,72,656
1564,080212,B,782.97,19,162
1576,003480,C,348.49,181,1787
1576,01611,B,229.80,41,406
1576,01611,D,616.64,23,206
1576,020109,B,56.79,146,1468
1576,020109,C,88.48,114,1119
1576,080212,A,86.22,117,1075
1576,080212,B,713.49,65,642
1581,003480,A,1057.82,152,1401
1581,003480,B,930.81,50,439
1581,01611,A,9.09,150,1285
1581,020109,A,1085.57,66,631
1581,020109,B,312.23,115,1024
1581,020109,C,1089.63,87,740
1581,080212,C,702.89,117,1139
1585,003480,B,566.91,123,1256
1585,01611,C,790.59,142,1533
1585,020109,A,1076.75,65,608
1585,031779,C,1036.67,188,1972
1585,031779,D,937.51,103,1104
1585,080212,B,548.64,8,76
1585,080212,C,85.19,110,1182
1586,003480,A,807.97,163,1729
1586,003480,B,590.76,86,742
1586,003480,D,545.48,148,1421
1586,031779,B,988.34,17,179
1586,080212,B,846.43,9,77
1586,080212,C,523.65,99,886
1588,003480,C,705.62,50,523
1588,01611,C,1022.08,8,78
1588,01611,D,183.52,38,374
1588,020109,A,1072.96,34,359
1588,020109,B,657.88,151,1355
1588,031779,C,256.89,56,482
1588,080212,A,1.26,67,658
1588,080212,C,778.09,148,1409
1604,003480,B,407.37,195,2010
1604,003480,C,272.45,59,512
1604,01611,A,186.53,123,1263
1604,01611,B,1057.45,163,1671
1604,020109,B,709.98,39,361
1604,080212,B,1052.72,54,578
1604,080212,C,1189.60,100,953
1609,003480,C,979.67,60,529
1609,01611,A,466.89,58,585
1609,020109,C,719.37,143,1318
1609,031779,B,275.42,151,1334
1609,031779,D,611.12,137,1234
1609,080212,B,502.67,75,757
1609,080212,C,219.65,195,1674
1616,01611,A,1227.77,5,42
1616,020109,C,466.07,85,723
1616,031779,B,686.96,38,333
1616,031779,D,798.68,127,1090
1616,080212,A,1025.90,101,1069
1616,080212,C,609.74,20,181
1618,003480,A,1193.57,96,943
1618,003480,B,559.32,110,1002
1618,003480,C,813.50,171,1480
1618,01611,A,889.92,67,668
1618,020109,C,772.70,61,618
1618,031779,A,296.08,142,1328
1618,080212,B,481.03,101,1005
1619,01611,B,512.86,48,431
1619,020109,C,213.83,47,432
1619,020109,D,94.90,155,1532
1619,031779,A,926.86,72,761
1619,080212,A,880.78,100,963
1619,080212,B,272.38,155,1509
1619,080212,D,463.29,167,1745
1620,003480,A,573.24,118,1065
1620,003480,B,408.76,92,982
1620,01611,B,15.55,5,42
1620,020109,C,130.00,144,1301
1620,080212,A,208.10,198,1744
1620,080212,B,17.33,169,1588
1620,080212,C,1105.18,161,1575
1634,01611,A,351.55,81,785
1634,01611,C,724.97,92,900
1634,020109,D,502.31,2,19
1634,031779,C,201.08,87,863
1634,080212,C,832.91,143,1372
1636,003480,A,688.19,179,1707
1636,01611,B,45.92,180,1800
1636,020109,A,886.67,95,856
1636,020109,D,465.24,94,836
1636,031779,A,977.17,119,1008
1636,080212,A,25.25,177,1636
1636,080212,C,67.89,184,1691
1641,003480,C,946.40,171,1488
1641,01611,B,1268.81,61,630
1641,01611,C,390.27,9,85
1641,020109,A,76.38,21,177
1641,020109,B,47.36,14,147
1641,031779,A,1113.31,164,1572
1641,031779,B,890.02,34,308
1641,080212,C,562.23,64,594
1645,01611,A,1240.03,142,1518
1645,01611,C,961.95,75,643
1645,020109,B,1073.19,75,784
1645,020109,D,535.91,134,1386
1645,031779,C,888.98,159,1522
1645,031779,D,1191.22,33,307
1669,003480,A,82.41,20,208
1669,01611,B,852.03,147,1424
1669,020109,B,946.55,31,284
1669,020109,D,266.97,7,66
1669,031779,C,219.43,0,0
1669,080212,B,370.02,15,157
1669,080212,C,316.45,197,1724
1669,080212,D,1261.27,128,1274
1681,003480,A,954.59,68,593
1681,003480,C,5.63,164,1562
1681,003480,D,437.49,175,1812
1681,01611,C,559.43,147,1263
1681,01611,D,90.64,84,817
1681,020109,C,592.80,118,1044
1681,031779,C,1034.87,64,577
1687,003480,C,1284.43,186,1818
1687,01611,B,830.73,73,667
1687,031779,B,784.09,60,623
1687,080212,A,488.70,194,1771
1687,080212,B,389.89,78,664
1703,003480,A,203.15,123,1230
1703,003480,B,477.72,26,241
1703,003480,D,770.59,67,716
1703,01611,A,1339.63,103,984
1703,01611,B,1351.26,50,495
1703,01611,C,1110.18,48,451
1703,01611,D,884.12,65,696
1703,020109,A,599.49,189,1774
1703,020109,D,466.14,131,1253
1703,031779,A,170.79,110,1125
1703,031779,B,911.77,34,329
1703,031779,C,1091.86,47,403
1703,080212,B,922.93,69,724
1704,003480,A,859.59,41,428
1704,003480,D,735.81,164,1488
1704,031779,C,1005.54,88,925
1713,003480,C,919.50,167,1507
1713,01611,B,1035.05,91,784
1713,01611,D,1208.79,101,1005
1713,020109,B,941.59,101,1031
1713,031779,B,765.24,119,1016
1713,080212,A,294.16,82,737
1714,003480,C,1284.89,190,1718
1714,020109,A,209.20,157,1413
1714,020109,B,629.65,53,540
1714,020109,C,1309.87,41,413
1714,020109,D,1064.96,157,1343
1714,031779,B,790.12,91,807
1714,080212,C,614.59,54,545
1720,003480,A,1334.92,28,292
1720,01611,A,722.85,190,1943
1720,01611,B,896.43,106,974
1720,020109,B,335.98,156,1591
1720,031779,A,1125.14,17,175
1720,031779,B,228.55,55,587
1720,080212,A,525.52,176,1513
1722,01611,A,396.33,35,302
1722,020109,A,1055.17,130,1259
1722,020109,C,19.67,11,105
1722,020109,D,1057.75,94,997
1722,080212,A,1262.33,140,1194
1722,080212,B,488.68,176,1819
1722,080212,C,620.57,34,298
1726,01611,A,350.33,99,1057
1726,01611,C,498.21,55,488
1726,01611,D,1334.32,137,1320
1726,020109,C,99.99,129,1099
1726,080212,A,1057.08,117,1080
1726,080212,B,1123.12,178,1820
1727,003480,B,921.01,61,622
1727,003480,D,1129.84,182,1943
1727,01611,B,1177.46,108,1127
1727,020109,B,564.55,104,1048
1727,031779,A,97.95,39,350
1727,031779,B,1317.56,72,747
1727,031779,D,1408.21,56,591
1727,080212,B,1342.30,111,1187
1731,003480,B,807.36,127,1172
1731,020109,B,592.05,70,725
1731,031779,C,1302.24,56,528
1731,080212,A,1165.03,161,1525
1732,01611,A,1425.58,52,518
1732,01611,B,183.88,4,37
1732,01611,C,1386.94,154,1590
1732,020109,B,895.26,129,1218
1732,020109,C,1009.42,110,981
1732,080212,B,1457.89,136,1426
1732,080212,C,396.70,9,87
1733,003480,C,904.90,156,1632
1733,01611,D,1206.26,74,666
1733,020109,C,45.63,77,783
1733,031779,C,918.02,144,1538
1733,080212,B,1327.17,73,779
1734,01611,C,1368.54,80,679
1734,020109,A,396.18,68,648
1734,020109,B,459.23,10,103
1734,020109,D,534.87,73,744
1734,080212,B,566.29,97,839
1734,080212,C,1267.57,139,1414
1734,080212,D,763.36,62,668
1736,003480,A,313.13,99,1023
1736,003480,C,61.57,138,1269
1736,01611,A,927.63,46,432
1736,020109,A,1019.96,143,1513
1736,020109,C,1269.35,110,1077
1736,020109,D,907.11,145,1405
1736,080212,B,1315.43,105,1088
1741,003480,A,1152.67,110,1019
1741,01611,A,1017.52,53,493
1741,01611,B,351.70,111,1082
1741,020109,A,316.71,144,1526
1741,031779,C,1254.36,3,28
1741,080212,A,103.83,61,516
1741,080212,C,588.40,121,1096
1743,003480,A,795.08,91,878
1743,003480,D,773.93,72,701
1743,01611,A,1419.22,35,306
1743,020109,A,494.36,168,1452
1743,020109,B,210.29,150,1587
1743,020109,D,563.49,46,427
1743,031779,C,1031.47,138,1309
1767,003480,A,842.39,23,207
1767,01611,C,89.81,8,70
1767,01611,D,530.38,112,1004
1767,020109,B,180.56,53,502
1767,020109,C,270.47,165,1651
1767,031779,B,1222.32,120,1097
1767,080212,B,747.24,36,373
1770,003480,B,754.79,135,1403
1770,003480,C,1097.39,118,1049
1770,003480,D,133.36,132,1197
1770,020109,A,528.07,11,115
1770,031779,B,1431.59,28,248
1770,080212,C,1261.47,1,9
1775,003480,D,76.82,17,174
1775,020109,A,615.86,198,2033
1775,031779,A,1372.61,53,521
1775,031779,C,15.91,126,1358
1775,080212,A,1407.64,28,271
1786,003480,C,1358.02,32,286
1786,020109,D,664.23,104,1112
1786,031779,B,533.88,67,629
1786,080212,B,1480.99,167,1546
1786,080212,C,129.12,182,1724
1794,01611,C,335.02,74,626
1794,020109,A,1472.75,115,974
1794,020109,C,1539.10,141,1477
1794,020109,D,1313.37,158,1359
1794,031779,C,800.61,192,2028
1794,080212,C,391.92,77,785
1794,080212,D,479.15,179,1629
1811,003480,A,568.11,89,808
1811,01611,A,198.70,119,1186
1811,01611,B,1137.00,25,241
1811,01611,C,1497.27,192,1820
1811,01611,D,530.15,45,389
1811,031779,A,262.87,107,999
1811,080212,A,1116.39,79,818
1812,003480,A,190.87,193,1956
1812,01611,A,180.42,165,1448
1812,01611,C,1045.63,169,1601
1812,01611,D,1048.34,135,1205
1812,020109,B,323.60,159,1349
1812,020109,D,1063.24,73,636
1812,031779,B,299.75,46,473
1812,031779,C,828.13,65,569
1812,031779,D,247.31,169,1493
1812,080212,B,902.92,103,968
1812,080212,D,313.17,170,1740
1821,003480,A,381.76,197,2063
1821,01611,B,914.08,56,592
1821,020109,C,1211.21,74,720
1821,020109,D,198.45,190,1945
1821,031779,B,1357.64,56,486
1821,080212,C,1168.10,156,1471
1827,003480,A,1022.12,159,1696
1827,003480,C,215.47,11,110
1827,003480,D,1039.48,84,907
1827,01611,A,1596.68,164,1653
1827,020109,A,1516.49,172,1496
1827,020109,B,471.93,78,699
1827,020109,C,1322.13,140,1448
1827,020109,D,49.04,92,937
1827,031779,B,950.76,113,1196
1827,080212,B,1151.52,107,1108
1827,080212,C,965.80,182,1595
1827,080212,D,1498.76,2,20
1829,003480,A,350.44,63,540
1829,003480,C,1455.01,5,51
1829,003480,D,157.09,199,1767
1829,01611,B,538.68,75,758
1829,020109,A,90.33,59,601
1829,031779,A,880.22,115,1189
1829,031779,C,1467.63,161,1637
1833,003480,A,633.02,70,628
1833,003480,B,876.76,87,913
1833,003480,C,849.93,130,1215
1833,003480,D,1354.39,77,700
1833,01611,B,606.42,86,902
1833,01611,C,746.65,53,555
1833,031779,B,706.68,94,821
1835,003480,A,1646.38,80,831
1835,003480,D,1637.08,11,94
1835,01611,B,1545.98,14,120
1835,01611,C,630.07,168,1651
1835,020109,B,343.31,89,794
1835,031779,C,1193.10,42,446
1835,080212,A,16.56,28,271
1835,080212,C,803.95,192,2033
1837,003480,A,601.73,101,965
1837,01611,B,1028.71,174,1499
1837,01611,C,66.10,130,1314
1837,01611,D,531.77,97,883
1837,031779,A,1666.20,12,105
1837,080212,A,1105.63,10,93
1837,080212,B,1503.74,102,933
1840,003480,A,328.57,163,1560
1840,003480,C,272.00,22,203
1840,01611,B,478.09,64,678
1840,01611,C,467.75,101,1045
1840,020109,A,417.64,176,1716
1840,020109,C,388.64,43,381
1840,020109,D,1610.18,111,1049
1840,080212,A,1524.16,72,721
1841,003480,B,516.56,12,102
1841,01611,A,207.57,153,1555
1841,020109,B,353.55,124,1169
1841,031779,A,302.92,161,1604
1841,031779,D,1637.32,141,1188
1841,080212,B,992.05,88,949
1841,080212,C,1153.71,146,1430
1843,003480,C,1397.70,183,1806
1843,01611,A,1538.57,135,1418
1843,020109,A,796.46,145,1547
1843,031779,A,895.62,2,18
1843,031779,C,677.45,33,285
1843,031779,D,671.81,199,1854
1843,080212,B,572.19,56,599
1847,003480,B,371.74,168,1428
1847,003480,C,1445.03,27,275
1847,01611,A,944.52,182,1859
1847,01611,B,496.60,152,1548
1847,01611,C,1489.96,59,593
1847,01611,D,105.23,182,1868
1847,031779,A,1374.16,100,881
1847,031779,B,305.65,127,1123
1847,031779,C,259.87,158,1524
1847,080212,B,648.26,44,423
